pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_met,st_meterr1,st_meterr2,st_metlim
4.310000,,,0,-0.089,0.013,-0.013,0
5.600000,,,0,-0.010,0.030,-0.030,0
5.990000,,,0,-0.051,0.017,-0.017,0
5.430000,,,0,-0.330,0.040,-0.040,0
5.050000,,,0,-0.003,0.120,-0.300,0
5.340000,,,0,-0.113,0.060,-0.060,0
5.470000,,,0,0.000,,,0
5.550000,,,0,-0.130,0.080,-0.080,0
3.950000,,,0,-0.220,0.060,-0.060,0
5.090000,,,0,-0.220,0.060,-0.060,0
2.270000,,,0,-0.220,0.060,-0.060,0
5.390000,,,0,,,,
3.950000,,,0,0.006,0.120,-0.120,0
5.950000,,,0,0.006,0.120,-0.120,0
5.340000,,,0,-0.330,0.093,-0.093,0
5.220000,,,0,0.019,0.235,-0.235,0
3.010000,,,0,0.019,0.235,-0.235,0
3.380000,,,0,0.200,0.050,-0.070,0
0.650000,0.340000,-0.300000,0,0.100,0.050,-0.050,0
4.730000,,,0,-0.030,0.150,-0.160,0
2.710000,,,0,-0.030,0.150,-0.160,0
2.880000,,,0,,,,
4.280000,,,0,,,,
5.850000,,,0,-0.180,0.060,-0.060,0
2.640000,,,0,-0.180,0.060,-0.060,0
5.950000,,,0,-0.390,0.250,-0.250,0
2.660000,,,0,-0.390,0.250,-0.250,0
2.290000,,,0,-0.137,0.127,-0.127,0
2.170000,,,0,-0.137,0.127,-0.127,0
5.310000,,,0,0.280,0.030,-0.030,0
4.280000,,,0,-0.230,0.160,-0.160,0
8.770000,1.000000,-0.940000,0,0.110,0.050,-0.050,0
2.120000,0.580000,-0.570000,0,0.110,0.050,-0.050,0
5.660000,,,0,-0.180,0.250,-0.250,0
4.490000,0.920000,-0.810000,0,-0.120,0.050,-0.050,0
3.100000,1.300000,-1.300000,0,0.141,0.082,-0.085,0
,,,,-0.230,0.040,-0.040,0
6.390000,1.190000,-1.040000,0,0.200,0.050,-0.050,0
1.620000,0.300000,-0.290000,0,0.200,0.050,-0.050,0
0.910000,0.250000,-0.230000,0,0.200,0.050,-0.050,0
15.400000,,,0,,,,
5.120000,,,0,0.100,0.190,-0.190,0
3.780000,,,0,0.100,0.190,-0.190,0
,,,,0.040,0.100,-0.110,0
5.430000,,,0,-0.250,0.190,-0.190,0
5.610000,,,0,-0.250,0.190,-0.190,0
5.660000,,,0,-0.080,0.080,-0.080,0
5.820000,,,0,-0.080,0.080,-0.080,0
5.770000,,,0,-0.080,0.080,-0.080,0
6.300000,1.300000,-1.300000,0,-0.120,0.150,-0.150,0
4.960000,,,0,-0.120,0.150,-0.150,0
0.315000,,,0,0.160,0.066,-0.066,0
0.409000,,,0,0.160,0.066,-0.066,0
1.700000,,,0,-0.120,0.100,-0.100,0
2.200000,0.170000,-0.160000,0,0.290,0.120,-0.120,0
4.410000,,,0,0.100,0.100,-0.100,0
2.240000,,,0,-0.040,0.160,-0.160,0
7.000000,1.600000,-1.300000,0,0.003,0.060,-0.060,0
4.470000,,,0,-0.340,0.090,-0.090,0
0.667000,,,0,-0.340,0.090,-0.090,0
1.760000,,,0,,,,
1.700000,,,0,0.100,0.100,-0.100,0
2.390000,,,0,0.100,0.100,-0.100,0
0.779000,,,0,0.100,0.100,-0.100,0
0.533000,,,0,0.300,0.100,-0.100,0
2.490000,,,0,,,,
2.510000,,,0,,,,
2.210000,,,0,,,,
3.250000,,,0,-0.400,0.100,-0.100,0
12.000000,,,0,-0.400,0.100,-0.100,0
1.230000,,,0,,,,
1.990000,,,0,,,,
1.310000,,,0,,,,
3.590000,,,0,-0.030,0.160,-0.160,0
1.460000,,,0,,,,
4.610000,,,0,0.090,0.170,-0.170,0
5.440000,,,0,0.090,0.170,-0.170,0
2.620000,,,0,0.100,0.080,-0.080,0
2.070000,,,0,,,,
1.890000,0.520000,-0.450000,0,-0.060,0.120,-0.120,0
5.950000,,,0,-0.300,0.120,-0.120,0
3.460000,,,0,-0.300,0.120,-0.120,0
1.710000,,,0,-0.300,0.120,-0.120,0
1.860000,,,0,0.301,0.076,-0.076,0
1.170000,,,0,0.301,0.076,-0.076,0
1.570000,,,0,0.160,0.060,-0.060,0
1.710000,,,0,0.000,0.150,-0.150,0
0.925000,,,0,0.020,0.090,-0.090,0
1.000000,,,0,0.020,0.090,-0.090,0
2.190000,,,0,0.020,0.090,-0.090,0
4.160000,,,0,0.020,0.090,-0.090,0
5.960000,,,0,-0.270,0.090,-0.090,0
5.520000,,,0,-0.270,0.090,-0.090,0
2.440000,,,0,-0.090,0.090,-0.090,0
1.700000,,,0,-0.030,0.160,-0.160,0
0.800000,0.130000,-0.130000,0,0.200,0.100,-0.100,0
5.030000,1.070000,-0.930000,0,0.110,0.190,-0.190,0
2.240000,,,0,0.110,0.190,-0.190,0
0.275000,,,0,-0.070,0.160,-0.160,0
0.431000,,,0,-0.070,0.160,-0.160,0
5.600000,1.700000,-1.300000,0,-0.120,0.160,-0.160,0
4.080000,,,0,-0.120,0.160,-0.160,0
2.620000,,,0,-0.120,0.160,-0.160,0
2.040000,,,0,,,,
8.106000,2.165000,-2.165000,0,-0.010,0.120,-0.120,0
2.110000,,,0,0.000,0.160,-0.160,0
7.300000,2.000000,-2.000000,0,-0.020,0.120,-0.120,0
2.720000,,,0,-0.020,0.120,-0.120,0
5.870000,,,0,-0.090,0.160,-0.160,0
2.310000,,,0,-0.040,0.090,-0.090,0
5.160000,,,0,-0.160,0.090,-0.090,0
2.550000,,,0,-0.160,0.090,-0.090,0
4.850000,,,0,-0.362,0.087,-0.069,0
2.300000,,,0,0.240,0.100,-0.100,0
0.499000,,,0,0.240,0.100,-0.100,0
1.650000,,,0,,,,
1.210000,,,0,0.120,0.160,-0.160,0
2.630000,,,0,-0.170,,,0
0.723000,,,0,-0.170,,,0
2.930000,,,0,-0.170,,,0
1.800000,0.290000,-0.290000,0,0.099,0.078,-0.078,0
2.860000,,,0,,,,
1.440000,,,0,,,,
7.000000,1.200000,-1.000000,0,0.070,0.160,-0.160,0
3.180000,,,0,0.280,0.030,-0.030,0
2.960000,,,0,-0.140,0.090,-0.090,0
2.880000,,,0,-0.080,0.090,-0.090,0
1.250000,,,0,-0.088,0.074,-0.074,0
2.800000,,,0,-0.088,0.074,-0.074,0
5.830000,,,0,-0.088,0.074,-0.074,0
